Kategori: Alla kategorier

Månad,climate change: (Sverige)
2004-01,0
2004-02,0
2004-03,45
2004-04,25
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,11
2004-11,0
2004-12,49
2005-01,12
2005-02,0
2005-03,0
2005-04,35
2005-05,11
2005-06,19
2005-07,0
2005-08,0
2005-09,0
2005-10,17
2005-11,17
2005-12,8
2006-01,0
2006-02,10
2006-03,6
2006-04,0
2006-05,11
2006-06,0
2006-07,11
2006-08,0
2006-09,0
2006-10,14
2006-11,11
2006-12,8
2007-01,0
2007-02,13
2007-03,12
2007-04,4
2007-05,12
2007-06,11
2007-07,6
2007-08,14
2007-09,18
2007-10,3
2007-11,21
2007-12,6
2008-01,11
2008-02,20
2008-03,0
2008-04,16
2008-05,12
2008-06,6
2008-07,5
2008-08,0
2008-09,19
2008-10,14
2008-11,15
2008-12,9
2009-01,5
2009-02,12
2009-03,12
2009-04,12
2009-05,13
2009-06,14
2009-07,11
2009-08,16
2009-09,20
2009-10,21
2009-11,22
2009-12,28
2010-01,19
2010-02,13
2010-03,16
2010-04,17
2010-05,12
2010-06,11
2010-07,2
2010-08,2
2010-09,8
2010-10,5
2010-11,10
2010-12,9
2011-01,6
2011-02,13
2011-03,12
2011-04,8
2011-05,14
2011-06,7
2011-07,9
2011-08,9
2011-09,6
2011-10,11
2011-11,9
2011-12,14
2012-01,11
2012-02,10
2012-03,9
2012-04,10
2012-05,15
2012-06,8
2012-07,7
2012-08,5
2012-09,8
2012-10,8
2012-11,13
2012-12,10
2013-01,9
2013-02,8
2013-03,9
2013-04,8
2013-05,10
2013-06,7
2013-07,5
2013-08,4
2013-09,10
2013-10,10
2013-11,9
2013-12,8
2014-01,9
2014-02,9
2014-03,10
2014-04,8
2014-05,14
2014-06,9
2014-07,3
2014-08,4
2014-09,14
2014-10,8
2014-11,9
2014-12,7
2015-01,10
2015-02,10
2015-03,12
2015-04,10
2015-05,9
2015-06,10
2015-07,6
2015-08,9
2015-09,12
2015-10,16
2015-11,14
2015-12,20
2016-01,15
2016-02,13
2016-03,14
2016-04,13
2016-05,14
2016-06,8
2016-07,5
2016-08,7
2016-09,15
2016-10,17
2016-11,25
2016-12,15
2017-01,20
2017-02,17
2017-03,18
2017-04,10
2017-05,13
2017-06,11
2017-07,9
2017-08,11
2017-09,18
2017-10,14
2017-11,17
2017-12,16
2018-01,13
2018-02,14
2018-03,14
2018-04,14
2018-05,15
2018-06,8
2018-07,8
2018-08,20
2018-09,19
2018-10,19
2018-11,18
2018-12,24
2019-01,21
2019-02,22
2019-03,27
2019-04,26
2019-05,24
2019-06,17
2019-07,12
2019-08,16
2019-09,42
2019-10,27
2019-11,25
2019-12,21
2020-01,29
2020-02,20
2020-03,19
2020-04,19
2020-05,15
2020-06,9
2020-07,6
2020-08,12
2020-09,24
2020-10,18
2020-11,10
2020-12,13
2021-01,14
2021-02,16
2021-03,16
2021-04,15
2021-05,15
2021-06,8
2021-07,7
2021-08,21
2021-09,17
2021-10,18
2021-11,17
2021-12,13
2022-01,19
2022-02,23
2022-03,21
2022-04,100
2022-05,23
2022-06,10
2022-07,14
2022-08,7
