Kategori: Alla kategorier

Månad,climate: (Sverige)
2004-01,32
2004-02,14
2004-03,43
2004-04,23
2004-05,33
2004-06,16
2004-07,0
2004-08,35
2004-09,66
2004-10,48
2004-11,38
2004-12,37
2005-01,44
2005-02,20
2005-03,35
2005-04,26
2005-05,25
2005-06,35
2005-07,23
2005-08,35
2005-09,26
2005-10,30
2005-11,31
2005-12,31
2006-01,29
2006-02,37
2006-03,17
2006-04,23
2006-05,37
2006-06,16
2006-07,23
2006-08,30
2006-09,30
2006-10,18
2006-11,37
2006-12,19
2007-01,30
2007-02,43
2007-03,32
2007-04,33
2007-05,32
2007-06,27
2007-07,26
2007-08,35
2007-09,34
2007-10,38
2007-11,41
2007-12,37
2008-01,35
2008-02,43
2008-03,25
2008-04,37
2008-05,35
2008-06,19
2008-07,25
2008-08,27
2008-09,37
2008-10,35
2008-11,42
2008-12,33
2009-01,35
2009-02,32
2009-03,41
2009-04,35
2009-05,35
2009-06,39
2009-07,30
2009-08,32
2009-09,39
2009-10,49
2009-11,68
2009-12,91
2010-01,50
2010-02,36
2010-03,45
2010-04,36
2010-05,37
2010-06,28
2010-07,23
2010-08,25
2010-09,33
2010-10,34
2010-11,33
2010-12,36
2011-01,24
2011-02,35
2011-03,33
2011-04,29
2011-05,30
2011-06,25
2011-07,19
2011-08,27
2011-09,26
2011-10,31
2011-11,33
2011-12,32
2012-01,33
2012-02,29
2012-03,31
2012-04,28
2012-05,32
2012-06,25
2012-07,19
2012-08,24
2012-09,26
2012-10,30
2012-11,34
2012-12,36
2013-01,33
2013-02,28
2013-03,28
2013-04,28
2013-05,29
2013-06,20
2013-07,16
2013-08,20
2013-09,29
2013-10,28
2013-11,25
2013-12,22
2014-01,27
2014-02,24
2014-03,24
2014-04,27
2014-05,35
2014-06,23
2014-07,15
2014-08,21
2014-09,32
2014-10,30
2014-11,28
2014-12,26
2015-01,25
2015-02,30
2015-03,30
2015-04,26
2015-05,30
2015-06,20
2015-07,17
2015-08,24
2015-09,32
2015-10,36
2015-11,41
2015-12,40
2016-01,33
2016-02,34
2016-03,30
2016-04,30
2016-05,30
2016-06,19
2016-07,14
2016-08,15
2016-09,31
2016-10,32
2016-11,45
2016-12,34
2017-01,39
2017-02,38
2017-03,34
2017-04,30
2017-05,30
2017-06,26
2017-07,20
2017-08,22
2017-09,33
2017-10,35
2017-11,36
2017-12,29
2018-01,33
2018-02,39
2018-03,31
2018-04,33
2018-05,35
2018-06,22
2018-07,22
2018-08,34
2018-09,35
2018-10,41
2018-11,42
2018-12,44
2019-01,43
2019-02,49
2019-03,59
2019-04,46
2019-05,51
2019-06,33
2019-07,28
2019-08,37
2019-09,89
2019-10,56
2019-11,55
2019-12,42
2020-01,50
2020-02,44
2020-03,43
2020-04,39
2020-05,38
2020-06,27
2020-07,19
2020-08,28
2020-09,41
2020-10,33
2020-11,28
2020-12,32
2021-01,32
2021-02,36
2021-03,32
2021-04,34
2021-05,33
2021-06,22
2021-07,24
2021-08,32
2021-09,36
2021-10,46
2021-11,44
2021-12,31
2022-01,40
2022-02,44
2022-03,45
2022-04,100
2022-05,55
2022-06,32
2022-07,28
2022-08,24
