Kategori: Alla kategorier

Månad,klimat: (Sverige)
2004-01,61
2004-02,55
2004-03,100
2004-04,26
2004-05,58
2004-06,19
2004-07,23
2004-08,24
2004-09,76
2004-10,46
2004-11,73
2004-12,49
2005-01,36
2005-02,65
2005-03,49
2005-04,69
2005-05,64
2005-06,46
2005-07,23
2005-08,15
2005-09,35
2005-10,61
2005-11,50
2005-12,65
2006-01,37
2006-02,44
2006-03,66
2006-04,42
2006-05,54
2006-06,23
2006-07,22
2006-08,10
2006-09,30
2006-10,40
2006-11,62
2006-12,50
2007-01,46
2007-02,43
2007-03,50
2007-04,50
2007-05,65
2007-06,28
2007-07,18
2007-08,29
2007-09,48
2007-10,48
2007-11,55
2007-12,50
2008-01,53
2008-02,52
2008-03,40
2008-04,53
2008-05,56
2008-06,26
2008-07,26
2008-08,31
2008-09,54
2008-10,44
2008-11,55
2008-12,47
2009-01,52
2009-02,51
2009-03,59
2009-04,43
2009-05,52
2009-06,29
2009-07,25
2009-08,35
2009-09,48
2009-10,48
2009-11,50
2009-12,51
2010-01,57
2010-02,63
2010-03,57
2010-04,51
2010-05,56
2010-06,31
2010-07,28
2010-08,38
2010-09,47
2010-10,55
2010-11,50
2010-12,45
2011-01,63
2011-02,58
2011-03,62
2011-04,42
2011-05,48
2011-06,26
2011-07,33
2011-08,36
2011-09,47
2011-10,52
2011-11,50
2011-12,49
2012-01,58
2012-02,51
2012-03,46
2012-04,44
2012-05,45
2012-06,26
2012-07,24
2012-08,41
2012-09,49
2012-10,49
2012-11,46
2012-12,42
2013-01,55
2013-02,47
2013-03,43
2013-04,47
2013-05,38
2013-06,24
2013-07,24
2013-08,35
2013-09,50
2013-10,45
2013-11,45
2013-12,36
2014-01,57
2014-02,45
2014-03,46
2014-04,38
2014-05,40
2014-06,28
2014-07,23
2014-08,31
2014-09,39
2014-10,41
2014-11,45
2014-12,37
2015-01,50
2015-02,45
2015-03,42
2015-04,36
2015-05,41
2015-06,24
2015-07,31
2015-08,34
2015-09,42
2015-10,46
2015-11,54
2015-12,44
2016-01,46
2016-02,42
2016-03,37
2016-04,38
2016-05,40
2016-06,20
2016-07,21
2016-08,32
2016-09,49
2016-10,44
2016-11,44
2016-12,37
2017-01,49
2017-02,47
2017-03,43
2017-04,36
2017-05,38
2017-06,23
2017-07,27
2017-08,33
2017-09,49
2017-10,54
2017-11,47
2017-12,43
2018-01,51
2018-02,50
2018-03,45
2018-04,40
2018-05,43
2018-06,20
2018-07,25
2018-08,41
2018-09,40
2018-10,51
2018-11,52
2018-12,47
2019-01,49
2019-02,50
2019-03,60
2019-04,47
2019-05,54
2019-06,27
2019-07,24
2019-08,35
2019-09,54
2019-10,56
2019-11,50
2019-12,40
2020-01,47
2020-02,45
2020-03,40
2020-04,33
2020-05,37
2020-06,19
2020-07,13
2020-08,18
2020-09,36
2020-10,28
2020-11,26
2020-12,23
2021-01,26
2021-02,29
2021-03,24
2021-04,24
2021-05,27
2021-06,16
2021-07,16
2021-08,24
2021-09,34
2021-10,37
2021-11,35
2021-12,26
2022-01,29
2022-02,33
2022-03,30
2022-04,36
2022-05,38
2022-06,22
2022-07,16
2022-08,19
