Kategori: Alla kategorier

Månad,Klimat: (Sverige)
2004-01,68
2004-02,51
2004-03,75
2004-04,57
2004-05,53
2004-06,24
2004-07,22
2004-08,36
2004-09,79
2004-10,50
2004-11,68
2004-12,53
2005-01,50
2005-02,65
2005-03,59
2005-04,66
2005-05,63
2005-06,37
2005-07,28
2005-08,31
2005-09,50
2005-10,59
2005-11,52
2005-12,54
2006-01,46
2006-02,61
2006-03,59
2006-04,55
2006-05,62
2006-06,29
2006-07,22
2006-08,18
2006-09,35
2006-10,45
2006-11,62
2006-12,49
2007-01,48
2007-02,56
2007-03,62
2007-04,59
2007-05,65
2007-06,41
2007-07,24
2007-08,39
2007-09,55
2007-10,57
2007-11,65
2007-12,62
2008-01,61
2008-02,61
2008-03,49
2008-04,62
2008-05,60
2008-06,30
2008-07,32
2008-08,36
2008-09,56
2008-10,53
2008-11,62
2008-12,53
2009-01,57
2009-02,53
2009-03,66
2009-04,52
2009-05,63
2009-06,40
2009-07,31
2009-08,40
2009-09,57
2009-10,63
2009-11,69
2009-12,81
2010-01,63
2010-02,67
2010-03,63
2010-04,57
2010-05,55
2010-06,41
2010-07,31
2010-08,39
2010-09,48
2010-10,58
2010-11,51
2010-12,49
2011-01,59
2011-02,57
2011-03,61
2011-04,45
2011-05,53
2011-06,30
2011-07,34
2011-08,39
2011-09,48
2011-10,50
2011-11,49
2011-12,52
2012-01,57
2012-02,52
2012-03,46
2012-04,44
2012-05,45
2012-06,31
2012-07,26
2012-08,40
2012-09,47
2012-10,50
2012-11,49
2012-12,47
2013-01,52
2013-02,45
2013-03,44
2013-04,46
2013-05,45
2013-06,27
2013-07,27
2013-08,34
2013-09,49
2013-10,46
2013-11,44
2013-12,36
2014-01,56
2014-02,43
2014-03,46
2014-04,42
2014-05,45
2014-06,31
2014-07,26
2014-08,33
2014-09,43
2014-10,44
2014-11,47
2014-12,40
2015-01,49
2015-02,45
2015-03,45
2015-04,39
2015-05,43
2015-06,28
2015-07,31
2015-08,37
2015-09,45
2015-10,51
2015-11,60
2015-12,53
2016-01,50
2016-02,46
2016-03,41
2016-04,43
2016-05,44
2016-06,25
2016-07,25
2016-08,33
2016-09,48
2016-10,48
2016-11,56
2016-12,47
2017-01,59
2017-02,59
2017-03,52
2017-04,41
2017-05,46
2017-06,33
2017-07,33
2017-08,37
2017-09,56
2017-10,59
2017-11,56
2017-12,49
2018-01,57
2018-02,59
2018-03,52
2018-04,51
2018-05,53
2018-06,30
2018-07,39
2018-08,60
2018-09,59
2018-10,70
2018-11,71
2018-12,63
2019-01,68
2019-02,68
2019-03,81
2019-04,65
2019-05,80
2019-06,44
2019-07,40
2019-08,54
2019-09,100
2019-10,87
2019-11,76
2019-12,64
2020-01,71
2020-02,67
2020-03,63
2020-04,52
2020-05,58
2020-06,35
2020-07,28
2020-08,34
2020-09,56
2020-10,47
2020-11,40
2020-12,40
2021-01,45
2021-02,48
2021-03,43
2021-04,44
2021-05,47
2021-06,34
2021-07,32
2021-08,45
2021-09,54
2021-10,57
2021-11,57
2021-12,40
2022-01,50
2022-02,52
2022-03,53
2022-04,88
2022-05,66
2022-06,40
2022-07,38
2022-08,43
