datetime,temp
2016-01-01,1.3
2016-01-02,-3.1
2016-01-03,-4.5
2016-01-04,-6.2
2016-01-05,-8
2016-01-06,-11.5
2016-01-07,-10.7
2016-01-08,-5.9
2016-01-09,-7.4
2016-01-10,-2.6
2016-01-11,1.2
2016-01-12,-3.4
2016-01-13,-6.4
2016-01-14,-12.4
2016-01-15,-13.4
2016-01-16,-12
2016-01-17,-9.4
2016-01-18,-5.9
2016-01-19,-7
2016-01-20,-7.9
2016-01-21,-7.2
2016-01-22,-9.3
2016-01-23,-2.4
2016-01-24,-0.2
2016-01-25,0.8
2016-01-26,4.2
2016-01-27,5.4
2016-01-28,3.8
2016-01-29,4.5
2016-01-30,4.3
2016-01-31,1.4
2016-02-01,-0.8
2016-02-02,4.5
2016-02-03,0.2
2016-02-04,-1
2016-02-05,-0.7
2016-02-06,2.5
2016-02-07,5
2016-02-08,4.5
2016-02-09,4.3
2016-02-10,3.4
2016-02-11,1
2016-02-12,-1
2016-02-13,-0.8
2016-02-14,-2.3
2016-02-15,-4.5
2016-02-16,-3.8
2016-02-17,-0.7
2016-02-18,0.6
2016-02-19,0.6
2016-02-20,0.6
2016-02-21,1.8
2016-02-22,1.1
2016-02-23,-0.9
2016-02-24,-0.8
2016-02-25,-0.5
2016-02-26,-1
2016-02-27,-0.6
2016-02-28,0
2016-02-29,-0.1
2016-03-01,-0.4
2016-03-02,0.2
2016-03-03,2.1
2016-03-04,2
2016-03-05,0.7
2016-03-06,0.7
2016-03-07,2.1
2016-03-08,3
2016-03-09,2.5
2016-03-10,2.1
2016-03-11,3.2
2016-03-12,1.7
2016-03-13,1
2016-03-14,5.3
2016-03-15,5.4
2016-03-16,5.9
2016-03-17,6.2
2016-03-18,1.7
2016-03-19,0.9
2016-03-20,1.2
2016-03-21,2.1
2016-03-22,1
2016-03-23,1.9
2016-03-24,2.2
2016-03-25,4.3
2016-03-26,6.6
2016-03-27,6.2
2016-03-28,7
2016-03-29,6.3
2016-03-30,5.7
2016-03-31,3.9
2016-04-01,4.6
2016-04-02,4.4
2016-04-03,8.4
2016-04-04,4.9
2016-04-05,7
2016-04-06,7.1
2016-04-07,6.7
2016-04-08,6.3
