data.latitude,data.longitude,data.type,data.name,data.number,data.postal_code,data.street,data.confidence,data.region,data.region_code,data.county,data.locality,data.administrative_area,data.neighbourhood,data.country,data.country_code,data.continent,data.label
39.715956,-96.999668,country,United States,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,United States,USA,North America,United States
52.418788,-1.247349,country,United Kingdom,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,United Kingdom,GBR,Europe,United Kingdom
22.364293,79.029432,country,India,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,India,IND,Asia,India
53.078731,-7.798618,country,Ireland,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Ireland,IRL,Europe,Ireland
52.33417,-6.4575,locality,Wexford,NA,NA,NA,1,Wexford,WX,NA,Wexford,NA,NA,Ireland,IRL,Europe,"Wexford, Ireland"
52.33417,-6.4575,locality,Wexford,NA,NA,NA,1,Wexford,WX,NA,Wexford,NA,NA,Ireland,IRL,Europe,"Wexford, Ireland"
44.782449,20.46444,locality,Belgrade,NA,NA,NA,1,Grad Beograd,BG,NA,Belgrade,Savski Venac,NA,Serbia,SRB,Europe,"Belgrade, BG, Serbia"
44.782449,20.46444,locality,Belgrade,NA,NA,NA,1,Grad Beograd,BG,NA,Belgrade,Savski Venac,NA,Serbia,SRB,Europe,"Belgrade, BG, Serbia"
44.251791,20.589197,country,Serbia,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Serbia,SRB,Europe,Serbia
-23.992438,134.050443,country,Australia,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Australia,AUS,Oceania,Australia
29.329836,68.560265,country,Pakistan,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Pakistan,PAK,Asia,Pakistan
-37.840615,145.073681,locality,Camberwell,NA,NA,NA,0.6,Victoria,VIC,Boroondara,Camberwell,Camberwell,NA,Australia,AUS,Oceania,"Camberwell, VIC, Australia"
51.475541,-0.083215,neighbourhood,Camberwell,NA,NA,NA,1,Greater London,NA,NA,London,NA,Camberwell,United Kingdom,GBR,Europe,"Camberwell, London, England, United Kingdom"
46.730219,7.509687,country,Switzerland,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,Switzerland,CHE,Europe,Switzerland
38.82652,-77.01712,locality,Washington,NA,NA,NA,1,District of Columbia,DC,District of Columbia,Washington,NA,NA,United States,USA,North America,"Washington, DC, USA"
38.82652,-77.01712,locality,Washington,NA,NA,NA,1,District of Columbia,DC,District of Columbia,Washington,NA,NA,United States,USA,North America,"Washington, DC, USA"
43.115138,-77.582288,locality,Brighton,NA,NA,NA,1,New York,NY,Monroe County,Brighton,Brighton,NA,United States,USA,North America,"Brighton, NY, USA"
50.830346,-0.169974,neighbourhood,Brighton,NA,NA,NA,0.6,East Sussex,NA,The City of Brighton and Hove,Brighton and Hove,NA,Brighton,United Kingdom,GBR,Europe,"Brighton, Brighton and Hove, England, United Kingdom"
36.531544,-119.586168,region,California,NA,NA,NA,1,California,CA,NA,NA,NA,NA,United States,USA,North America,"California, USA"
36.531544,-119.586168,region,California,NA,NA,NA,1,California,CA,NA,NA,NA,NA,United States,USA,North America,"California, USA"
41.308658,-72.925297,locality,New Haven,NA,NA,NA,1,Connecticut,CT,New Haven County,New Haven,New Haven,NA,United States,USA,North America,"New Haven, CT, USA"
41.308658,-72.925297,locality,New Haven,NA,NA,NA,1,Connecticut,CT,New Haven County,New Haven,New Haven,NA,United States,USA,North America,"New Haven, CT, USA"
